Image ID,Total Questions Answered,Correct,Wrong,Empty,Percentage,Note,ID ETUDIANT
0,20,15,5,0,75.0,15.00,1
1,20,9,10,1,45.0,9.00,1
2,17,14,3,3,70.0,14.00,1
3,20,15,5,0,75.0,15.00,1
4,20,17,3,0,85.0,17.00,1
5,20,13,7,0,65.0,13.00,1
6,18,12,6,2,60.0,12.00,1
7,20,14,4,2,70.0,14.00,1
8,19,14,5,1,70.0,14.00,1
9,18,16,0,4,80.0,16.00,1
10,20,15,5,0,75.0,15.00,1
11,20,11,9,0,55.0,11.00,1
12,19,16,2,2,80.0,16.00,1
13,20,13,1,6,65.0,13.00,1
14,19,12,1,7,60.0,12.00,1
15,20,17,3,0,85.0,17.00,1
16,20,17,3,0,85.0,17.00,1
17,20,12,8,0,60.0,12.00,1
18,20,12,8,0,60.0,12.00,1
19,20,12,8,0,60.0,12.00,1
20,20,11,9,0,55.0,11.00,1
21,19,10,9,1,50.0,10.00,1
22,20,12,7,1,60.0,12.00,1
23,20,16,4,0,80.0,16.00,1
24,20,14,6,0,70.0,14.00,1
25,18,12,6,2,60.0,12.00,1
26,19,16,3,1,80.0,16.00,1
27,20,17,3,0,85.0,17.00,1
28,20,15,5,0,75.0,15.00,1
29,20,19,1,0,95.0,19.00,1
30,20,14,6,0,70.0,14.00,1
